"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
5,2018,17,25,0.735975176,16.33333333,0,365,1.837521187,0.446018413,0.156697196,0.314430601,0.846706387,0.606008804,0.406543435,0.364391867,-0.532681447,0.829564413
5,2019,17,26,0.811672376,18.25,0,365,-1.043044052,1.136958828,-0.076274995,0.340640013,1.366320573,0.325970318,0.761200751,0.24710936,0.533242328,0.647307199
3,2007,18,7,0.241581495,4.904761905,0,302,2.976139236,0.367623465,0.259549749,0.301267581,1.44624941,0.37232408,0.890868914,0.280895038,0.709167294,0.802647864
3,2008,18,8,0.283936547,5.6,0,366,3.206180319,0.398366971,0.301453092,0.306704024,2.29140065,0.401947298,1.135546494,0.295620973,1.708577019,0.75923793
3,2009,18,9,0.471176913,5.333333333,0,365,3.360914182,0.395398406,0.206573613,0.314685031,1.380617742,0.484877149,0.724196431,0.32613792,0.551946675,0.790196719
3,2010,18,10,0.687229432,7.571428571,0,365,3.31562098,0.45889939,0.279623218,0.33057962,1.546756311,0.724640391,0.772582537,0.415309348,0.96452356,0.80447277
3,2011,18,11,0.628325321,9.24,0,365,3.448239092,0.341185903,0.442562812,0.299526766,2.05905929,0.328096011,1.205555431,0.251317327,1.970472453,0.69821502
3,2012,18,12,0.565079391,8.388888889,1,73,2.945154797,0.531547513,0.254882851,0.332040269,1.344157522,0.600891469,0.647479419,0.366755881,0.265847795,0.870359141
5,2007,18,7,0.083333333,31.3852459,0,365,-0.477732856,1.263313378,-0.06205501,0.335414821,-0.367051404,0.938782453,-0.185325371,0.528516691,-0.114484264,0.965037997
7,2005,18,5,0.184490301,15.375,0,365,2.693373634,0.268142126,0.193542425,0.259018648,0.272058552,0.339393272,0.127950664,0.235163312,0.339900887,0.612502364
7,2006,18,6,0.289442791,17.23728814,0,365,2.902568015,0.241107659,0.240568096,0.239695054,0.283825874,0.362415023,0.087009157,0.247386777,-0.297743931,0.61377733
7,2007,18,7,0.296744575,15.7,0,63,2.48249063,0.318158635,0.145479469,0.286138813,0.932152422,0.532366621,0.454444944,0.323166605,-0.941102646,0.764952944
5,2003,19,5,0.173751165,30.04225352,0,365,0.424235148,0.470100595,0.154392608,0.296929855,-0.659242724,0.366016053,-0.184373649,0.249301595,-0.485645812,0.588556193
5,2004,19,6,0.174928411,33.36315789,0,366,1.309976194,0.325670482,0.078522135,0.280717321,-1.483929504,0.33873374,-0.466474811,0.222586533,-1.946551138,0.534041035
5,2005,19,7,0.19129763,34.20114943,0,365,1.5964649,0.226375746,-0.121919515,0.237303213,-0.625050294,0.248124881,-0.079498999,0.191626737,-1.945535288,0.526637356
5,2006,19,8,0.270714988,37.37423313,0,365,1.574683075,0.212876842,0.064591225,0.21670871,-0.059426574,0.214543576,0.110091393,0.180085888,-1.576264182,0.520110149
5,2007,19,9,0.250898155,31.3852459,0,365,1.197605052,0.271525225,0.278305181,0.237160177,0.231572394,0.224532685,0.133295157,0.188264672,-2.106515054,0.574040691
